, numFactors,AUC10_max,AUC10_max_numIter,AUC10_mean,AUC10_min,AUC10_min_numIter,AUC40_max,AUC40_max_numIter,AUC40_mean,AUC40_min,AUC40_min_numIter,AUC5_max,AUC5_max_numIter,AUC5_mean,AUC5_min,AUC5_min_numIter
0,8.0,0.504571,13.0,0.4434058272251308,0.380448,58.0,0.679607,68.0,0.5980910157068062,0.53064,122.0,0.496075,24.0,0.42092971727748685,0.317073,22.0
1,9.0,0.505606,119.0,0.44169407853403125,0.390043,140.0,0.652853,175.0,0.5966871151832464,0.5223979999999999,174.0,0.501938,38.0,0.418467837696335,0.326389,132.0
2,15.0,0.617714,47.0,0.5194347434554974,0.367693,184.0,0.723195,104.0,0.643652162303665,0.5245850000000001,200.0,0.494097,109.0,0.42197557068062835,0.33231700000000003,66.0
3,20.0,0.506848,24.0,0.44245041884816727,0.364688,105.0,0.677226,124.0,0.5879404502617801,0.505309,15.0,0.500302,73.0,0.4174746335078534,0.342487,45.0
