, numFactors,Rec10_max,Rec10_max_numIter,Rec10_mean,Rec10_min,Rec10_min_numIter,Rec40_max,Rec40_max_numIter,Rec40_mean,Rec40_min,Rec40_min_numIter,Rec5_max,Rec5_max_numIter,Rec5_mean,Rec5_min,Rec5_min_numIter
0,8.0,0.5242720000000001,59.0,0.3437369790575918,0.227854,90.0,1.0,10.0,1.0,1.0,10.0,0.32163200000000003,171.0,0.18772705235602075,0.09328099999999999,64.0
1,9.0,0.49227600000000005,83.0,0.34695552356020953,0.21812199999999998,11.0,1.0,10.0,1.0,1.0,10.0,0.286087,53.0,0.18984021989528813,0.088366,11.0
2,15.0,0.510917,93.0,0.34474037696335086,0.22168800000000002,17.0,1.0,10.0,1.0,1.0,10.0,0.310724,55.0,0.1909270157068063,0.10193200000000001,17.0
3,20.0,0.480533,184.0,0.34594426178010473,0.19704000000000002,15.0,1.0,10.0,1.0,1.0,10.0,0.315052,159.0,0.18969529319371725,0.072997,12.0
