, numFactors,Rec10_max,Rec10_max_numIter,Rec10_mean,Rec10_min,Rec10_min_numIter,Rec40_max,Rec40_max_numIter,Rec40_mean,Rec40_min,Rec40_min_numIter,Rec5_max,Rec5_max_numIter,Rec5_mean,Rec5_min,Rec5_min_numIter
0,8.0,0.590888,68.0,0.4427616963350787,0.335924,122.0,1.0,10.0,1.0,1.0,10.0,0.349574,191.0,0.22142858638743465,0.145317,134.0
1,9.0,0.542992,28.0,0.4471905078534032,0.299129,196.0,1.0,10.0,1.0,1.0,10.0,0.32864299999999996,175.0,0.22402644502617805,0.131971,186.0
2,15.0,0.708094,104.0,0.5432148481675392,0.347443,156.0,1.0,10.0,1.0,1.0,10.0,0.506771,83.0,0.35217096335078546,0.147038,200.0
3,20.0,0.584861,124.0,0.4423231832460728,0.34379299999999996,111.0,1.0,10.0,1.0,1.0,10.0,0.330005,24.0,0.22087120418848177,0.137404,35.0
