, numFactors,AUC10_max,AUC10_max_numIter,AUC10_mean,AUC10_min,AUC10_min_numIter,AUC40_max,AUC40_max_numIter,AUC40_mean,AUC40_min,AUC40_min_numIter,AUC5_max,AUC5_max_numIter,AUC5_mean,AUC5_min,AUC5_min_numIter
0,8.0,0.514814,120.0,0.44282829319371725,0.367856,167.0,0.628787,170.0,0.5750798062827226,0.506221,159.0,0.48433000000000004,155.0,0.41916410994764414,0.348238,97.0
1,9.0,0.504885,15.0,0.44427790052356014,0.359534,24.0,0.652263,108.0,0.5714250680628272,0.49057700000000004,121.0,0.49561400000000005,36.0,0.41864614659685867,0.318783,29.0
2,15.0,0.506521,119.0,0.4433373036649217,0.37753000000000003,42.0,0.632828,56.0,0.5790981780104713,0.50694,44.0,0.495471,125.0,0.4214118691099475,0.300694,94.0
3,20.0,0.5008729999999999,96.0,0.4433238952879582,0.380173,111.0,0.658419,98.0,0.574044502617801,0.482838,179.0,0.487466,33.0,0.42150106282722516,0.328488,28.0
