 Pre5,Pre10, Pre40, Rec5, Rec10, Rec40, AUC5, AUC10, AUC40, MAP5, MAP10, MAP40, NDCG5, NDCG10,NDCG40,MRR5, MRR10,MRR40, numFactors, numIter, lrate, maxlrate, reg, isBoldDriver, TrainTime, TestTime
0.122222,0.1,0.051488,0.266257,0.423677,1,0.436839,0.474344,0.562232,0.162774,0.199197,0.243977,0.20574,0.269603,0.421057,0.222817,0.249113,0.271035,8,35,0.02,-1,1.00E-04,TRUE,'01:06','00:00'
0.123577,0.108943,0.050407,0.279113,0.510637,1,0.444106,0.467423,0.609733,0.171954,0.220353,0.259496,0.214785,0.304792,0.435382,0.228726,0.264244,0.283237,8,36,0.02,-1,1.00E-04,TRUE,'01:18','00:00'
0.11626,0.113821,0.054472,0.222113,0.452304,1,0.45393,0.454502,0.588538,0.154987,0.207735,0.252533,0.192807,0.285293,0.432692,0.234485,0.268135,0.290984,8,37,0.02,-1,1.00E-04,TRUE,'01:24','00:00'
0.102439,0.109756,0.053049,0.203665,0.473793,1,0.438008,0.420958,0.580688,0.135208,0.190761,0.23377,0.168087,0.271257,0.411833,0.199932,0.240783,0.261463,8,38,0.02,-1,1.00E-04,TRUE,'01:18','00:00'
0.117073,0.097967,0.051321,0.223606,0.398587,1,0.400407,0.44121,0.542848,0.136578,0.173408,0.218706,0.174152,0.242804,0.398655,0.190312,0.217951,0.241793,8,39,0.02,-1,1.00E-04,TRUE,'00:59','00:00'
0.112821,0.110256,0.057799,0.170006,0.364011,1,0.405983,0.405389,0.555053,0.107132,0.150558,0.207251,0.144676,0.227258,0.398635,0.1901,0.228283,0.249871,8,40,0.02,-1,1.00E-04,TRUE,'00:59','00:00'
0.121705,0.103876,0.048062,0.274242,0.472357,1,0.382752,0.461067,0.610003,0.14783,0.188454,0.229482,0.196708,0.272165,0.410216,0.210724,0.234516,0.258228,8,41,0.02,-1,1.00E-04,TRUE,'00:50','00:00'
0.096899,0.106202,0.052616,0.161849,0.421484,1,0.449935,0.399321,0.544081,0.109815,0.162449,0.205265,0.138386,0.23886,0.387422,0.164858,0.208195,0.227691,8,42,0.02,-1,1.00E-04,TRUE,'00:50','00:00'
0.102439,0.097561,0.049593,0.188123,0.418387,1,0.466463,0.45664,0.580192,0.137617,0.182,0.228798,0.16499,0.252447,0.406145,0.192209,0.227897,0.253234,8,43,0.02,-1,1.00E-04,TRUE,'00:49','00:00'
0.115385,0.112821,0.053312,0.221754,0.472548,1,0.383903,0.408306,0.610132,0.130406,0.180256,0.227619,0.1724,0.27087,0.414593,0.206695,0.246374,0.266518,8,44,0.02,-1,1.00E-04,TRUE,'00:51','00:00'
0.1075,0.10625,0.054375,0.185046,0.426875,1,0.411806,0.435231,0.594388,0.121116,0.174338,0.223147,0.158281,0.251676,0.408269,0.200972,0.2348,0.258232,8,45,0.02,-1,1.00E-04,TRUE,'00:57','00:00'
0.122222,0.108974,0.058654,0.215446,0.372314,1,0.392806,0.422153,0.530382,0.147376,0.186578,0.238251,0.183527,0.251841,0.4207,0.215741,0.240495,0.264218,8,46,0.02,-1,1.00E-04,TRUE,'00:57','00:00'
0.111905,0.101984,0.049603,0.23219,0.424121,1,0.414352,0.454637,0.591595,0.128258,0.171915,0.2167,0.171806,0.24732,0.396906,0.193519,0.217604,0.242231,8,47,0.02,-1,1.00E-04,TRUE,'01:02','00:00'
0.099225,0.086822,0.050388,0.18254,0.33684,1,0.453488,0.447767,0.522792,0.136599,0.166813,0.216536,0.163976,0.225435,0.396436,0.193088,0.218895,0.243623,8,48,0.02,-1,1.00E-04,TRUE,'01:22','00:00'
0.110317,0.089286,0.049405,0.236665,0.40463,1,0.463955,0.471813,0.550543,0.156992,0.185963,0.231455,0.192447,0.256929,0.41337,0.220966,0.252565,0.27598,8,49,0.02,-1,1.00E-04,TRUE,'01:37','00:00'
0.115152,0.106818,0.054167,0.217548,0.406398,1,0.402778,0.464582,0.57691,0.149461,0.19636,0.242672,0.186452,0.264031,0.421246,0.221212,0.245083,0.271511,8,50,0.02,-1,1.00E-04,TRUE,'01:38','00:00'
0.124031,0.101163,0.05126,0.306718,0.475258,1,0.39438,0.45753,0.624794,0.175222,0.207573,0.253792,0.224687,0.29058,0.436243,0.240052,0.263786,0.28609,8,51,0.02,-1,1.00E-04,TRUE,'01:47','00:00'
0.118333,0.117917,0.054062,0.230687,0.466831,1,0.419097,0.44876,0.604729,0.143903,0.196982,0.243072,0.186943,0.279807,0.422982,0.22125,0.253366,0.273817,8,52,0.02,-1,1.00E-04,TRUE,'01:36','00:00'
0.102837,0.096099,0.050177,0.227744,0.402094,1,0.449468,0.447396,0.557978,0.142884,0.183466,0.227352,0.177015,0.248587,0.402314,0.189539,0.218863,0.241261,8,53,0.02,-1,1.00E-04,TRUE,'01:40','00:00'
0.122764,0.114228,0.055488,0.226174,0.412263,1,0.426829,0.462507,0.588135,0.152909,0.202114,0.249321,0.192233,0.270997,0.427432,0.229404,0.258775,0.282394,8,54,0.02,-1,1.00E-04,TRUE,'01:34','00:00'
0.108333,0.122685,0.056481,0.155276,0.444907,1,0.408951,0.372488,0.564422,0.106434,0.169974,0.215081,0.14047,0.255852,0.404299,0.186728,0.230221,0.251056,8,55,0.02,-1,1.00E-04,TRUE,'01:40','00:00'
0.11453,0.107692,0.054915,0.208728,0.395377,1,0.447293,0.44653,0.536525,0.146727,0.190489,0.239923,0.182762,0.258495,0.417949,0.225071,0.25492,0.276301,8,56,0.02,-1,1.00E-04,TRUE,'01:44','00:00'
0.1225,0.112917,0.054062,0.200427,0.434861,1,0.419792,0.459024,0.564818,0.144934,0.197708,0.243801,0.181627,0.272801,0.421435,0.227361,0.259658,0.280947,8,57,0.02,-1,1.00E-04,TRUE,'01:51','00:00'
0.109524,0.109921,0.052579,0.210692,0.470007,1,0.438161,0.439378,0.596095,0.147939,0.203356,0.247196,0.184489,0.28534,0.427246,0.223611,0.263539,0.282535,8,58,0.02,-1,1.00E-04,TRUE,'02:03','00:00'
0.1,0.104065,0.051118,0.193845,0.442297,1,0.433266,0.417804,0.594048,0.11329,0.163554,0.210871,0.145871,0.243524,0.392862,0.153388,0.19579,0.217479,8,59,0.02,-1,1.00E-04,TRUE,'01:57','00:00'
0.09697,0.104167,0.055208,0.179463,0.437704,1,0.431187,0.39082,0.5529,0.11718,0.167791,0.213755,0.147986,0.246588,0.396669,0.174179,0.215311,0.234709,8,60,0.02,-1,1.00E-04,TRUE,'01:58','00:00'
0.121667,0.102917,0.05125,0.253945,0.430298,1,0.415278,0.488513,0.573088,0.136951,0.17922,0.223906,0.183619,0.253242,0.404319,0.196597,0.222029,0.245462,8,61,0.02,-1,1.00E-04,TRUE,'02:15','00:00'
0.130833,0.122917,0.056667,0.236457,0.497109,1,0.362847,0.411392,0.60761,0.136617,0.190915,0.236357,0.184289,0.284659,0.423332,0.216528,0.253929,0.272494,8,62,0.02,-1,1.00E-04,TRUE,'02:13','00:00'
0.113178,0.113566,0.052422,0.240181,0.535401,1,0.416667,0.43357,0.609848,0.135785,0.192495,0.233362,0.179562,0.289141,0.415451,0.202584,0.248507,0.263895,8,63,0.02,-1,1.00E-04,TRUE,'02:22','00:00'
0.1125,0.107917,0.049687,0.229679,0.481944,1,0.413194,0.441613,0.610813,0.135536,0.187398,0.230181,0.174959,0.268882,0.407976,0.190139,0.222857,0.246154,8,64,0.02,-1,1.00E-04,TRUE,'02:18','00:00'
0.09127,0.1,0.055357,0.132229,0.344134,1,0.414021,0.410175,0.52786,0.074532,0.120683,0.175691,0.105038,0.193718,0.367259,0.134788,0.17666,0.201421,8,65,0.02,-1,1.00E-04,TRUE,'02:03','00:00'
0.112879,0.107955,0.054167,0.200676,0.440025,1,0.413826,0.438376,0.557514,0.138097,0.188692,0.233656,0.173095,0.265072,0.414532,0.206439,0.240094,0.261626,8,66,0.02,-1,1.00E-04,TRUE,'02:17','00:00'
0.107576,0.100758,0.050758,0.23778,0.435588,1,0.464962,0.460783,0.585358,0.155926,0.198379,0.242843,0.194454,0.272645,0.421757,0.222854,0.254518,0.276984,8,67,0.02,-1,1.00E-04,TRUE,'02:25','00:00'
0.107143,0.117063,0.059028,0.215252,0.4434,1,0.393188,0.426044,0.595437,0.109309,0.161825,0.217367,0.153653,0.24848,0.403893,0.17963,0.21589,0.238163,8,68,0.02,-1,1.00E-04,TRUE,'02:01','00:00'
0.1,0.094841,0.049504,0.187349,0.409722,1,0.424603,0.43165,0.583113,0.127887,0.170568,0.218544,0.158308,0.243817,0.401234,0.183135,0.217171,0.242028,8,69,0.02,-1,1.00E-04,TRUE,'01:59','00:00'
0.114035,0.115351,0.056908,0.192008,0.43515,1,0.407895,0.415218,0.522773,0.128692,0.18239,0.226909,0.164834,0.262228,0.410464,0.200439,0.237909,0.256192,8,70,0.02,-1,1.00E-04,TRUE,'02:06','00:00'
0.114286,0.094444,0.046429,0.279277,0.456217,1,0.463955,0.475974,0.597841,0.190573,0.22334,0.266118,0.226637,0.293562,0.435896,0.240344,0.267966,0.290015,8,71,0.02,-1,1.00E-04,TRUE,'02:13','00:00'
0.117424,0.107576,0.055303,0.216447,0.429987,1,0.375631,0.417039,0.582658,0.135254,0.18027,0.230804,0.174454,0.259243,0.414873,0.208586,0.242802,0.263511,8,72,0.02,-1,1.00E-04,TRUE,'02:09','00:00'
0.125,0.111364,0.053977,0.258251,0.47193,1,0.416982,0.48191,0.597729,0.159623,0.209296,0.253184,0.204802,0.291151,0.433686,0.238952,0.272941,0.292806,8,73,0.02,-1,1.00E-04,TRUE,'02:01','00:00'
0.110569,0.106504,0.053455,0.19668,0.457249,1,0.363821,0.406125,0.56429,0.121416,0.168929,0.214162,0.156728,0.257477,0.401975,0.18706,0.231754,0.249392,8,74,0.02,-1,1.00E-04,TRUE,'02:16','00:00'
0.09078,0.100709,0.052926,0.1532,0.434076,1,0.441785,0.412322,0.580768,0.106265,0.161917,0.206701,0.132237,0.236672,0.389486,0.157801,0.198569,0.224514,8,75,0.02,-1,1.00E-04,TRUE,'02:18','00:00'
0.128333,0.101667,0.054375,0.267318,0.424722,1,0.387153,0.450012,0.576911,0.157351,0.189484,0.239074,0.200799,0.263351,0.420841,0.220833,0.246235,0.2695,8,76,0.02,-1,1.00E-04,TRUE,'02:21','00:00'
0.107317,0.102439,0.047256,0.209262,0.492954,1,0.438008,0.430104,0.588893,0.136132,0.189154,0.228093,0.170767,0.273957,0.405559,0.196341,0.235922,0.255255,8,77,0.02,-1,1.00E-04,TRUE,'02:35','00:00'
0.10873,0.096429,0.047917,0.241468,0.460317,1,0.424272,0.445722,0.575488,0.171427,0.207881,0.248914,0.205056,0.286883,0.426567,0.228902,0.263838,0.282931,8,78,0.02,-1,1.00E-04,TRUE,'02:25','00:00'
0.113821,0.10935,0.05061,0.233159,0.484417,1,0.392276,0.42741,0.615485,0.123633,0.173393,0.218263,0.165692,0.25914,0.397198,0.175339,0.206396,0.229905,8,79,0.02,-1,1.00E-04,TRUE,'02:33','00:00'
0.10873,0.098016,0.051587,0.204721,0.409524,1,0.366733,0.417423,0.566388,0.099661,0.142418,0.190237,0.141517,0.217893,0.375321,0.155159,0.182829,0.207457,8,80,0.02,-1,1.00E-04,TRUE,'02:36','00:00'
0.117037,0.096667,0.049074,0.276155,0.483704,1,0.405864,0.465348,0.598727,0.154896,0.192929,0.23455,0.196438,0.276078,0.414187,0.190988,0.227237,0.246193,8,81,0.02,-1,1.00E-04,TRUE,'02:28','00:00'
0.089683,0.093254,0.049702,0.193742,0.432937,1,0.419643,0.422414,0.54713,0.105365,0.150431,0.192997,0.139727,0.230602,0.379625,0.148545,0.185802,0.207558,8,82,0.02,-1,1.00E-04,TRUE,'02:30','00:00'
0.087879,0.084848,0.047348,0.205156,0.406692,1,0.465909,0.455692,0.56388,0.13133,0.169972,0.214818,0.164115,0.241198,0.396322,0.184785,0.218774,0.24304,8,83,0.02,-1,1.00E-04,TRUE,'02:38','00:00'
0.115909,0.103788,0.04678,0.253608,0.485164,1,0.444444,0.478547,0.614517,0.161941,0.209366,0.24865,0.204296,0.291582,0.424881,0.234659,0.265434,0.287764,8,84,0.02,-1,1.00E-04,TRUE,'02:49','00:00'
