, numFactors,Pre10_max,Pre10_max_numIter,Pre10_mean,Pre10_min,Pre10_min_numIter,Pre40_max,Pre40_max_numIter,Pre40_mean,Pre40_min,Pre40_min_numIter,Pre5_max,Pre5_max_numIter,Pre5_mean,Pre5_min,Pre5_min_numIter
0,8.0,0.11623900000000001,61.0,0.09200158115183242,0.0575,75.0,0.064693,51.0,0.05251879057591622,0.044074,37.0,0.14416700000000002,144.0,0.10351790052356019,0.06916699999999999,75.0
1,9.0,0.121545,83.0,0.09242064397905758,0.070238,46.0,0.061184,33.0,0.0524969842931937,0.044413,91.0,0.132432,164.0,0.10366127225130894,0.073016,11.0
2,15.0,0.12061400000000001,73.0,0.09093140837696333,0.071667,157.0,0.06289700000000001,21.0,0.052026685863874336,0.044074,46.0,0.134959,89.0,0.1027115549738219,0.07280700000000001,20.0
3,20.0,0.122523,133.0,0.09165623036649218,0.065116,37.0,0.065991,133.0,0.052554507853403126,0.045337,56.0,0.147009,183.0,0.10278228272251312,0.06666699999999999,12.0
