, numFactors,Rec10_max,Rec10_max_numIter,Rec10_mean,Rec10_min,Rec10_min_numIter,Rec40_max,Rec40_max_numIter,Rec40_mean,Rec40_min,Rec40_min_numIter,Rec5_max,Rec5_max_numIter,Rec5_mean,Rec5_min,Rec5_min_numIter
0,8.0,0.534079,27.0,0.36893733507853405,0.21561999999999998,137.0,1.0,10.0,1.0,1.0,10.0,0.387507,175.0,0.21746592670157072,0.091458,100.0
1,9.0,0.532822,122.0,0.3806368429319372,0.21623299999999998,182.0,1.0,10.0,1.0,1.0,10.0,0.341828,72.0,0.21715420418848175,0.122695,73.0
2,15.0,0.5052909999999999,124.0,0.3643401989528795,0.240217,176.0,1.0,10.0,1.0,1.0,10.0,0.368651,124.0,0.21700336649214655,0.097045,156.0
3,20.0,0.511072,94.0,0.367435376963351,0.226667,30.0,1.0,10.0,1.0,1.0,10.0,0.349593,26.0,0.22803488481675385,0.127616,30.0
