, numFactors,Pre10_max,Pre10_max_numIter,Pre10_mean,Pre10_min,Pre10_min_numIter,Pre40_max,Pre40_max_numIter,Pre40_mean,Pre40_min,Pre40_min_numIter,Pre5_max,Pre5_max_numIter,Pre5_mean,Pre5_min,Pre5_min_numIter
0,8.0,0.131395,157.0,0.10758563350785347,0.08076900000000001,158.0,0.061645000000000005,163.0,0.05264289005235604,0.045922000000000004,65.0,0.14651199999999998,157.0,0.11333891099476448,0.088034,86.0
1,9.0,0.141905,101.0,0.10791584293193723,0.07863200000000001,88.0,0.065595,101.0,0.052645366492146586,0.04502,53.0,0.147619,118.0,0.11371052356020951,0.086047,17.0
2,15.0,0.155263,38.0,0.1259364764397906,0.088148,179.0,0.060791,148.0,0.052665937172774846,0.045556,127.0,0.21984099999999998,129.0,0.1594295863874345,0.085926,200.0
3,20.0,0.137037,71.0,0.10806396335078537,0.084848,100.0,0.061279999999999994,137.0,0.05278396858638748,0.045108999999999996,162.0,0.14955,109.0,0.11473762303664922,0.086364,189.0
