 Pre5,Pre10, Pre40, Rec5, Rec10, Rec40, AUC5, AUC10, AUC40, MAP5, MAP10, MAP40, NDCG5, NDCG10,NDCG40,MRR5, MRR10,MRR40, numFactors, numIter, lrate, maxlrate, regB, regU, regI, regC, isBoldDriver, TrainTime, TestTime,
0.127907,0.107752,0.053682,0.253941,0.430749,1.000000,0.388243,0.489699,0.573860,0.132494,0.177908,0.223839,0.183443,0.254561,0.405145,0.210724,0.228673,0.255004,8,31,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.110000,0.092917,0.050625,0.213472,0.406111,1.000000,0.402431,0.429142,0.527521,0.107315,0.142710,0.185591,0.145115,0.216707,0.371744,0.141528,0.170400,0.195335,8,32,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.123577,0.109756,0.061890,0.188906,0.391266,1.000000,0.389228,0.428579,0.533996,0.118048,0.159424,0.217729,0.164782,0.243219,0.412223,0.228455,0.262542,0.281974,8,33,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.095556,0.076296,0.044444,0.195494,0.362346,1.000000,0.454012,0.449391,0.529696,0.122370,0.149528,0.193693,0.153543,0.213840,0.374608,0.169877,0.196202,0.221570,8,34,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.112698,0.097619,0.054067,0.212113,0.388842,1.000000,0.388558,0.433666,0.505299,0.116445,0.154084,0.200211,0.160551,0.229094,0.389456,0.188161,0.212661,0.235910,8,35,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.115504,0.096899,0.052035,0.200563,0.373883,1.000000,0.336240,0.417866,0.488266,0.103884,0.138439,0.181926,0.145000,0.212498,0.370834,0.153618,0.180062,0.202944,8,36,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.126667,0.102917,0.054687,0.250484,0.368561,1.000000,0.424306,0.517274,0.509762,0.144292,0.180386,0.226587,0.195630,0.247138,0.409501,0.240833,0.254216,0.279206,8,37,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.096899,0.098062,0.052810,0.158518,0.380168,1.000000,0.407623,0.421512,0.487831,0.082138,0.130120,0.173628,0.119177,0.207024,0.365425,0.144057,0.178133,0.200241,8,38,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.101449,0.087319,0.049457,0.162751,0.316504,1.000000,0.418176,0.434520,0.490813,0.100497,0.132475,0.180703,0.134101,0.194648,0.365675,0.167089,0.187744,0.214983,8,39,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
0.127642,0.103659,0.052236,0.247280,0.436740,1.000000,0.378049,0.443973,0.519711,0.123154,0.163407,0.206202,0.176809,0.249541,0.394752,0.202981,0.231067,0.248367,8,40,0.02,-1.0,1.0E-4,1.0E-4,1.0E-4,0.001,true,'00:00','00:00',
