, numFactors,MRR10_max,MRR10_max_numIter,MRR10_mean,MRR10_min,MRR10_min_numIter,MRR40_max,MRR40_max_numIter,MRR40_mean,MRR40_min,MRR40_min_numIter,MRR5_max,MRR5_max_numIter,MRR5_mean,MRR5_min,MRR5_min_numIter
0,8.0,0.320326,98.0,0.23827815183246073,0.177973,86.0,0.340557,98.0,0.26096542408376966,0.206136,86.0,0.292431,98.0,0.20515113089005244,0.142683,152.0
1,9.0,0.324777,118.0,0.23874562827225146,0.168499,196.0,0.340935,118.0,0.26113178534031406,0.194982,47.0,0.292593,175.0,0.20558519371727743,0.135347,47.0
2,15.0,0.457161,14.0,0.33893853926701567,0.19537000000000002,200.0,0.470315,14.0,0.35585126178010473,0.21892199999999998,200.0,0.444851,14.0,0.3156052617801046,0.15567899999999998,200.0
3,20.0,0.318807,74.0,0.23971416230366505,0.165421,15.0,0.335793,74.0,0.2620038115183246,0.191026,15.0,0.28794200000000003,74.0,0.2069256020942408,0.132995,126.0
