, numFactors,NDCG10_max,NDCG10_max_numIter,NDCG10_mean,NDCG10_min,NDCG10_min_numIter,NDCG40_max,NDCG40_max_numIter,NDCG40_mean,NDCG40_min,NDCG40_min_numIter,NDCG5_max,NDCG5_max_numIter,NDCG5_mean,NDCG5_min,NDCG5_min_numIter
0,8.0,0.32469699999999996,84.0,0.23112050785340302,0.149679,137.0,0.461963,84.0,0.39425563350785336,0.347891,146.0,0.262361,175.0,0.16987043455497383,0.08603,100.0
1,9.0,0.330167,72.0,0.23525869109947647,0.158077,18.0,0.474601,36.0,0.39546076963350785,0.337523,18.0,0.27166399999999996,36.0,0.16994492146596862,0.095075,18.0
2,15.0,0.350944,43.0,0.23451429842931937,0.154582,156.0,0.490436,43.0,0.3976754450261779,0.335353,195.0,0.30733499999999997,43.0,0.17477615183246076,0.081295,156.0
3,20.0,0.3386,193.0,0.24232062303664934,0.16131500000000001,30.0,0.482522,193.0,0.40493733507853386,0.34653,179.0,0.290981,152.0,0.1858384345549738,0.10093200000000001,179.0
