, numFactors,Pre10_max,Pre10_max_numIter,Pre10_mean,Pre10_min,Pre10_min_numIter,Pre40_max,Pre40_max_numIter,Pre40_mean,Pre40_min,Pre40_min_numIter,Pre5_max,Pre5_max_numIter,Pre5_mean,Pre5_min,Pre5_min_numIter
0,8.0,0.132895,175.0,0.10549301047120427,0.077778,144.0,0.06,26.0,0.052195397905759174,0.043085000000000005,112.0,0.145299,153.0,0.11223407853403143,0.087879,83.0
1,9.0,0.14341099999999998,22.0,0.10608963874345549,0.08217100000000001,151.0,0.063355,200.0,0.0526896387434555,0.044326,73.0,0.153488,115.0,0.11365516753926706,0.088148,60.0
2,15.0,0.132018,189.0,0.1062878272251309,0.07926799999999999,26.0,0.061562,147.0,0.05205008376963347,0.045068000000000004,161.0,0.14359,107.0,0.11282168062827229,0.088095,148.0
3,20.0,0.127132,79.0,0.10573154450261774,0.079457,29.0,0.061077,197.0,0.05238340314136127,0.043411,54.0,0.139316,39.0,0.11256983769633505,0.086508,31.0
